0.000000000000000000e+00;2.000000000000000000e+00;3.000000000000000000e+00;4.000000000000000000e+00
1.000000000000000021e-02;2.117295600467906880e+00;3.461536243245140643e+00;3.960315167774452583e+00
2.000000000000000042e-02;2.268654924365006931e+00;3.951303050679466633e+00;3.936245144744653146e+00
2.999999999999999889e-02;2.453889050131091487e+00;4.476828956638077450e+00;3.930786273607306036e+00
4.000000000000000083e-02;2.673533419804559497e+00;5.045454306022834956e+00;3.947721961175018723e+00
5.000000000000000278e-02;2.928765231820276593e+00;5.664405124654454227e+00;3.991771570891634369e+00
5.999999999999999778e-02;3.221332957938601638e+00;6.340818244380936441e+00;4.068778210475761270e+00
7.000000000000000666e-02;3.553492442034617227e+00;7.081706479825461642e+00;4.185936749035167104e+00
8.000000000000000167e-02;3.927942165894825255e+00;7.893851179281975661e+00;4.352061505561395371e+00
8.999999999999999667e-02;4.347750215481918090e+00;8.783600061394825076e+00;4.577892347380751126e+00
1.000000000000000056e-01;4.816263306027289026e+00;9.756544136793371180e+00;4.876431221178798125e+00
1.100000000000000006e-01;5.336986445877394125e+00;1.081703848439498827e+01;5.263292727247317337e+00
1.199999999999999956e-01;5.913419299508396065e+00;1.196752548540961669e+01;5.757038391604205607e+00
1.300000000000000044e-01;6.548832200772809919e+00;1.320761350070862505e+01;6.379442635260175187e+00
1.400000000000000133e-01;7.245962206147168239e+00;1.453286565419268150e+01;7.155609195836245107e+00
1.499999999999999944e-01;8.006607210068624525e+00;1.593326464431817513e+01;8.113815421088778734e+00
1.600000000000000033e-01;8.831096752896778312e+00;1.739135258548516916e+01;9.284914391780173304e+00
1.700000000000000122e-01;9.717622597009000884e+00;1.888010770185348974e+01;1.070107175949864775e+01
1.799999999999999933e-01;1.066142452843194377e+01;2.036072856465582603e+01;1.239357273184825026e+01
1.900000000000000022e-01;1.165385102410955476e+01;2.178065978814623804e+01;1.438943182974605683e+01
2.000000000000000111e-01;1.268135440641019507e+01;2.307240901954300938e+01;1.670661589460538465e+01
2.099999999999999922e-01;1.372453822467081608e+01;2.415394100976318370e+01;1.934790692409738000e+01
2.200000000000000011e-01;1.475744763345179855e+01;2.493161005642783223e+01;2.229383774968572851e+01
2.300000000000000100e-01;1.574736775160680402e+01;2.530656309529754466e+01;2.549573967780596107e+01
2.399999999999999911e-01;1.665544251408029908e+01;2.518512505096357401e+01;2.887065329768408262e+01
2.500000000000000000e-01;1.743840199111783917e+01;2.449271742007323027e+01;3.230039316296960550e+01
2.600000000000000089e-01;1.805155083474313571e+01;2.318940887750236257e+01;3.563703479055847367e+01
2.700000000000000178e-01;1.845289650515972468e+01;2.128364627078575566e+01;3.871604664726557843e+01
2.800000000000000266e-01;1.860792867878721779e+01;1.883984528744254305e+01;4.137615612692086131e+01
2.899999999999999800e-01;1.849421327004746729e+01;1.597616999864153442e+01;4.348235373015280913e+01
2.999999999999999889e-01;1.810480143848005952e+01;1.285130824756007328e+01;4.494641821746083110e+01
3.099999999999999978e-01;1.744960548633702402e+01;9.642626053732538338e+00;4.573926635636713200e+01
3.200000000000000067e-01;1.655436035467204547e+01;6.521138601388935641e+00;4.589173541425299163e+01
3.300000000000000155e-01;1.545741008462198707e+01;3.629707410503545617e+00;4.548417519257478858e+01
3.400000000000000244e-01;1.420508850361682640e+01;1.069303040435833019e+00;4.462866600076781509e+01
3.500000000000000333e-01;1.284670403958262064e+01;-1.104983259755579095e+00;4.344925109533199503e+01
3.599999999999999867e-01;1.143004618680341977e+01;-2.879595215771291628e+00;4.206493413407194026e+01
3.699999999999999956e-01;9.998008803275851619e+00;-4.273052720374213465e+00;4.057815161138881166e+01
3.800000000000000044e-01;8.586540573784695596e+00;-5.324825772784740785e+00;3.906920142901129367e+01
3.900000000000000133e-01;7.223820546250625085e+00;-6.085126172344358153e+00;3.759554924004844167e+01
4.000000000000000222e-01;5.930379131868723341e+00;-6.606987499707934752e+00;3.619429562764352681e+01
4.100000000000000311e-01;4.719833993754309454e+00;-6.940964859665382569e+00;3.488615958608663448e+01
4.199999999999999845e-01;3.599944599462657102e+00;-7.132144203192100740e+00;3.367976323927512539e+01
4.299999999999999933e-01;2.573762330008523946e+00;-7.218883583408823412e+00;3.257549696121235883e+01
4.400000000000000022e-01;1.640731485401111467e+00;-7.232691280921279997e+00;3.156864602534396980e+01
4.500000000000000111e-01;7.976624928598986530e-01;-7.198752779897665377e+00;3.065172383197900885e+01
4.600000000000000200e-01;3.954552350558963869e-02;-7.136758807338932087e+00;2.981609643037214852e+01
4.700000000000000289e-01;-6.397973210278736778e-01;-7.061814081479218963e+00;2.905303874464864222e+01
4.799999999999999822e-01;-1.247206960853699087e+00;-6.985303019213554343e+00;2.835436768778176031e+01
4.899999999999999911e-01;-1.789808089097852495e+00;-6.915653568598417955e+00;2.771277871394854131e+01
